config_id,repeat_seed,sample,reference_weight,phase_mix,input_phase_coupling,common_minus_wrongref_db,common_minus_ordinary_db
28,1,frame,0.16,0.18,0.9,0.050645,0.164597
28,1,two_spots,0.16,0.18,0.9,0.15484,0.655098
28,2,frame,0.16,0.18,0.9,0.03769,0.191261
28,2,two_spots,0.16,0.18,0.9,0.049794,0.569769
28,3,frame,0.16,0.18,0.9,0.051491,0.183869
28,3,two_spots,0.16,0.18,0.9,-0.084027,0.414012
28,4,frame,0.16,0.18,0.9,0.020027,0.090711
28,4,two_spots,0.16,0.18,0.9,0.432887,0.871603
28,5,frame,0.16,0.18,0.9,-0.14409,0.07463
28,5,two_spots,0.16,0.18,0.9,0.125197,0.429876
