method,object_id,fixed_psnr_lowres,guided_psnr_lowres,method_psnr_lowres,psnr_gain_over_fixed_lowres,seed,dataset_name,dataset_version,perturbation_family,level,training_regime
trainable_surrogate_ridge,natural_object_eval_object_07,22.246608011468446,24.29950975889212,20.39621745161512,-1.8503905598533272,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_08,24.682652435450997,26.401775612869343,23.062031877761733,-1.6206205576892643,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_09,26.03509499288373,28.105843222831687,21.815810796891405,-4.219284195992326,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_10,27.487783962454735,29.31711556864469,22.28377770719495,-5.2040062552597846,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_11,21.386338698185973,23.349148388801552,19.781082366571002,-1.6052563316149708,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_00,27.790705693646483,29.255724605137992,24.479294991288594,-3.3114107023578896,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_01,30.289387467950792,31.573284968340346,27.388229534668444,-2.9011579332823487,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_02,24.425261526855053,26.501137395701406,21.321514763305807,-3.103746763549246,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_03,25.74407117584066,27.74327771875894,22.76365966089433,-2.9804115149463293,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_04,26.443905876364617,27.774560898774652,23.945400918895498,-2.4985049574691196,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_05,24.750944971861657,26.669523251896724,22.075367361444084,-2.675577610417573,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_06,26.559553252123386,28.166234167689872,24.148741758954273,-2.4108114931691134,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_07,22.555480965228018,24.600809583049752,20.520930722333205,-2.034550242894813,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_08,25.478038337231887,27.72758279886017,23.058407286803714,-2.4196310504281726,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_09,26.215827707708286,27.83499323900633,21.518698293503533,-4.697129414204753,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_10,27.759583299293958,29.606766194447346,22.173454110632814,-5.586129188661143,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_11,21.827796398423025,24.578390890476992,19.993620272074015,-1.8341761263490106,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_00,27.92063435081403,29.807045244556228,24.49495398754567,-3.4256803632683592,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_01,30.047849687614022,31.62219931273738,27.524551968754714,-2.5232977188593075,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_02,24.330576559432476,27.710027765267288,21.12261699227725,-3.207959567155225,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_03,25.315262283862644,28.185737987461472,22.550104097380576,-2.7651581864820685,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_04,25.9888063467766,27.77789628055961,24.120405706940183,-1.8684006398364161,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_05,24.36718881107758,26.460914151576137,22.124945480500546,-2.2422433305770326,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_06,26.483971174814585,29.03331235935857,24.029732539397056,-2.4542386354175285,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_07,22.704364463676118,26.109630447912178,20.28076917048694,-2.4235952931891767,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_08,25.00474048357364,27.988982985907967,23.02123294685344,-1.9835075367202002,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_09,26.20381294930777,29.040371945253355,21.5750472626571,-4.62876568665067,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_10,27.422731504240588,30.101166970284492,22.22706930625162,-5.195662197988966,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_11,21.700322821077087,25.32568384056715,19.766944964593534,-1.9333778564835526,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_00,26.99067415662615,28.909245924360427,24.318283789897393,-2.672390366728756,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_01,29.61058081464783,30.196198176472482,27.047864751002443,-2.562716063645386,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_02,23.965323057879676,25.234325799236842,21.436787768723914,-2.528535289155762,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_03,25.14151513834653,26.228848875267026,22.74701232693583,-2.3945028114106996,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_04,26.324687020960802,27.304445667478426,24.006024730049063,-2.318662290911739,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_05,23.3517567038945,24.964694200148024,22.000872410844444,-1.3508842930500577,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_06,26.112850882158178,27.418121974546548,24.103900421750883,-2.008950460407295,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_07,22.006129246527276,23.42094426405356,20.630346476216257,-1.3757827703110195,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_08,24.586917704530585,25.525121252346594,22.83464090674832,-1.7522767977822653,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_09,25.759067908447236,26.816310138455385,21.9373332941353,-3.8217346143119357,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_10,26.919356053614028,28.15287592073473,22.386592096964087,-4.532763956649941,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
