epsilon,route,eta,n_bar,ratio_to_lb
0.01708851809077574,homodyne,0.5,2.2429127718467408,3.3224764487978184
0.01708851809077574,on-off,0.5,1.688100658560678,2.50062095667231
0.017337788895633675,lower-bound,,0.6715155794538706,1.0
0.017337788895633675,homodyne,0.99,1.1265352210591173,1.6776010200318874
0.017337788895633675,on-off,0.99,0.84891910350248,1.2641837799100475
0.017337788895633675,homodyne,0.7,1.593242669783609,2.3726071569022413
0.017337788895633675,on-off,0.7,1.2006141606677934,1.787917060158496
0.017337788895633675,homodyne,0.5,2.230539737697052,3.321650019663137
0.017337788895633675,on-off,0.5,1.6808598249349105,2.503083884221894
0.017590695822349834,lower-bound,,0.667959513206894,1.0
0.017590695822349834,homodyne,0.99,1.120290336521201,1.6771829944342778
0.017590695822349834,on-off,0.99,0.8452621168227994,1.2654391472990185
0.017590695822349834,homodyne,0.7,1.5844106187942697,2.3720159492713355
0.017590695822349834,on-off,0.7,1.1954421366493877,1.7896925083228976
0.017590695822349834,homodyne,0.5,2.218174866311977,3.320822328979869
0.017590695822349834,on-off,0.5,1.6736189913091428,2.5055695116520567
0.017847291911159614,lower-bound,,0.6644044025764231,1.0
0.017847291911159614,homodyne,0.99,1.1140496056682228,1.6767643341136338
0.017847291911159614,on-off,0.99,0.8416051301431189,1.2667061309039314
0.017847291911159614,homodyne,0.7,1.5755844423022007,2.3714238439607107
0.017847291911159614,on-off,0.7,1.1902701126309825,1.7914843851355602
0.017847291911159614,homodyne,0.5,2.2058182192230804,3.319993381544994
0.017847291911159614,on-off,0.5,1.6663781576833754,2.508078139189784
0.018107630975998167,lower-bound,,0.6608502620087736,1.0
0.018107630975998167,homodyne,0.99,1.107813059924156,1.6763450415480783
0.018107630975998167,on-off,0.99,0.8379481434634384,1.2679848849818773
0.018107630975998167,homodyne,0.7,1.5667641847498777,2.370830844475139
0.018107630975998167,on-off,0.7,1.1850980886125773,1.793292908760084
0.018107630975998167,homodyne,0.5,2.193469858649829,3.319163182265195
0.018107630975998167,on-off,0.5,1.659137324057608,2.510610072264117
0.018371767615786374,lower-bound,,0.6572971061762921,1.0
