ab1_pattern,ab2_pattern,ab7_first_pattern,ab7_second_pattern,ab7_second_conjugated,overall_rmse_meV,gamma_start_max_abs_delta_meV,gamma_end_max_abs_delta_meV,k_b_rmse_meV,k_t_rmse_meV,m_rmse_meV
const,cyc,cyc,anti,False,10.524398522336297,6.780000000000008,6.725487752394724,15.072053633070881,15.390775482329877,6.754536989694119
const,cyc,cyc,anti,True,10.524398522336297,6.780000000000008,6.725487752394724,15.072053633070881,15.390775482329877,6.754536989694119
anti,cyc,const,cyc,False,10.531236368835085,5.849999999999998,5.807371913969082,10.7898199139763,16.14313049311006,6.2164533768529715
anti,cyc,const,cyc,True,10.531236368835085,5.849999999999998,5.807371913969082,10.7898199139763,16.14313049311006,6.2164533768529715
const,cyc,cyc,const,False,10.548885259007644,4.440000000000005,4.435477218809931,15.072053616257751,15.9122156183142,6.439316036948982
const,cyc,cyc,const,True,10.548885259007644,4.440000000000005,4.435477218809931,15.072053616257751,15.9122156183142,6.439316036948982
anti,cyc,anti,cyc,False,10.549455118138077,8.189999999999998,8.1862551406821,10.57066433120012,16.143130495859488,6.093728473007765
anti,cyc,anti,cyc,True,10.549455118138077,8.189999999999998,8.1862551406821,10.57066433120012,16.143130495859488,6.093728473007765
const,anti,anti,anti,False,10.592785689076205,6.780000000000008,6.752065341132491,15.49643138536012,14.785976217611015,6.754536732724989
const,anti,anti,anti,True,10.592785689076205,6.780000000000008,6.752065341132491,15.49643138536012,14.785976217611015,6.754536732724989
const,const,const,cyc,False,10.614772527850842,2.3400000000000105,2.3988059532561365,16.152569591483395,15.47534416662082,6.833582441838664
const,const,const,cyc,True,10.614772527850842,2.3400000000000105,2.3988059532561365,16.152569591483395,15.47534416662082,6.833582441838664
const,anti,anti,const,False,10.636654185617076,4.440000000000005,4.462047734822981,15.496431372015179,15.475343761411875,6.439315870488912
const,anti,anti,const,True,10.636654185617076,4.440000000000005,4.462047734822981,15.496431372015179,15.475343761411875,6.439315870488912
const,cyc,const,anti,False,10.714670172600746,4.440000000000005,4.435477464812742,15.072053616257744,15.491214496527283,7.6723571207396315
const,cyc,const,anti,True,10.714670172600746,4.440000000000005,4.435477464812742,15.072053616257744,15.491214496527283,7.6723571207396315
const,anti,cyc,cyc,False,10.722123545306909,6.780000000000008,6.752065347775156,15.496431653292573,15.16837445668876,6.754536711635995
const,anti,cyc,cyc,True,10.722123545306909,6.780000000000008,6.752065347775156,15.496431653292573,15.16837445668876,6.754536711635995
const,cyc,const,const,False,10.757291100288437,2.1000000000000085,2.1465187861332318,15.072053599444608,16.14312573021032,7.119167837781352
