point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
311,10.03993418953397,-16.89978591601114,-64.23232730906696,3.734615848039553,-17.10517834988671,-57.8163638070631
312,10.0433196684131,-16.98900081223935,-64.15015432661885,4.061151294733554,-17.111712537703365,-58.157214968842965
313,10.0474029865726,-17.08601728156449,-64.06117461626258,4.387182684954456,-17.123963262637222,-58.49334825821626
314,10.05227495419084,-17.19083780015084,-63.96547136326124,4.711358529027191,-17.141860883222716,-58.823407607038625
315,10.05802983029642,-17.30346184937377,-63.86313381937569,5.032320441594013,-17.16526786769773,-59.146093316753465
316,10.06476454994663,-17.42388527996116,-63.75425717379581,5.348714741918699,-17.193988063811975,-59.46016467577872
317,10.07257793219819,-17.55209966455105,-63.63894241698638,5.659203134252817,-17.227775721579032,-59.764441919490665
318,10.08156987597202,-17.68809164523029,-63.51729619797413,5.962472394632555,-17.26634410122068,-60.05780762576329
319,10.09184055099471,-17.83184228266536,-63.38943067563735,6.257243036582377,-17.309373554882193,-60.33920762874784
320,10.10348959098845,-17.98332641338978,-63.25546336459396,6.5422769653973925,-17.35651901777411,-60.60765152364279
321,10.11661529617762,-18.14251202167564,-63.11551697631776,6.81638415900652,-17.407416881932235,-60.862212825957386
322,10.13131385197969,-18.30935963218181,-62.96971925614486,7.078428433564787,-17.461691254259208,-61.10202884040412
323,10.14767857045655,-18.48382172924723,-62.81820281686595,7.327332364939865,-17.51895962088905,-61.326300287162
324,10.16579916071906,-18.66584220828223,-62.66110496963026,7.5620814443820645,-17.578837953410158,-61.534290726852475
325,10.18576103401345,-18.85535586421561,-62.4985675529188,7.78172754914273,-17.640945300377673,-61.725325820127935
326,10.20764464867861,-19.05228792138496,-62.33073676037365,7.985391807800883,-17.704907911069768,-61.89879245322534
327,10.23152489956164,-19.25655360862704,-62.15776296829864,8.172266936586338,-17.770362938695055,-62.05413775710245
328,10.257470555826,-19.46805778264516,-61.97980056367427,8.341619117895819,-17.836961768177567,-62.19086804475583
329,10.28554375039811,-19.68669460201286,-61.79700777355647,8.492789486156244,-17.904373009992685,-62.30854768893062
330,10.31579952358739,-19.91234725344046,-61.60954649675178,8.625195279700986,-17.972285196898834,-62.406797960578345
331,10.34828542269777,-20.14488773118774,-61.41758213868695,8.738330710755614,-18.040409215252968,-62.48529584701602
332,10.38304115874042,-20.38417666977691,-61.22128345041091,8.831767599219821,-18.108480497228815,-62.543772867716974
333,10.42009832067079,-20.63006322945341,-61.02082237268735,8.905155809829697,-18.17626099489347,-62.582013904947146
334,10.45948014692311,-20.88238503317318,-60.81637388615401,8.958223526558678,-18.24354095186499,-62.59985606599412
335,10.50120135341115,-21.14096815327506,-60.60811586854085,8.990777392777899,-18.310140483237152,-62.59718759347071
336,10.54526801661634,-21.40562714543573,-60.39622895995149,9.002702540719115,-18.375910969628034,-62.57394684006376
337,10.59167750990047,-21.67616512700861,-60.18089643722492,8.993962529102344,-18.440736266561704,-62.53012132410872
338,10.64041849076363,-21.95237389642454,-59.96230409840075,8.96459920332328,-18.504533725871173,-62.46574688247506
339,10.69147093642386,-22.23403408998194,-59.74064015831731,8.914732488245138,-18.567255021341605,-62.38090693741863
340,10.74480622482225,-22.52091537208034,-59.51609515637195,8.844560119295727,-18.6288867663041,-62.275731894278614
341,10.80038725795482,-22.81277665475213,-59.28886187747028,8.754357313121586,-18.689450906244303,-62.150398687160326
342,10.85816862429839,-23.10936634222121,-59.05913528718243,8.644476374381462,-18.749004864600565,-62.00513049002579
343,10.91809679702606,-23.41042259615903,-58.82711248211017,8.51534623025891,-18.807641414692686,-61.84019661092082
344,10.98011036469356,-23.71567361731718,-58.59299265644688,8.367471878834664,-18.86548824504987,-61.65591258737061
345,11.0441402911149,-24.02483793928142,-58.35697708568262,8.201433731494085,-18.92270717921484,-61.45264050128141
346,11.11011020122587,-24.33762473021296,-58.11926912836577,8.01788682298571,-18.979493004344885,-61.23078953196101
347,11.17793668985079,-24.65373409861454,-57.88007424677811,7.817559855564495,-19.036071855598774,-60.990816766104366
348,11.24752965043387,-24.97285739937194,-57.63960004731246,7.601254035863135,-19.09269909545026,-60.73322828373233
349,11.318792620964,-25.29467753658021,-57.3980563412513,7.369841654827363,-19.14965661884595,-60.458580539073395
350,11.391623144505,-25.61886925995749,-57.1556552265338,7.124264352401973,-19.20724950678844,-60.16748205515694
351,11.46591314193484,-25.9450994519836,-56.91261119095632,6.865530999963658,-19.26580194288635,-59.860595450320595
352,11.54154929469322,-26.27302740327386,-56.66914123707379,6.5947151252028915,-19.32565230027681,-59.53863981377097
353,11.61841343553049,-26.60230507411232,-56.42546502884937,6.31295179687832,-19.387147300927847,-59.20239344554544
354,11.69638294544044,-26.93257734053244,-56.18180505982512,6.021433881410349,-19.45063514677831,-58.85269697340717
