model,valley,pairing,barrier_Z,eta_meV,zero_bias_conductance,peak_conductance,background_conductance,peak_minus_background,zero_bias_andreev,zero_bias_normal_reflection
baseline,total,valley_even,0.0,0.05,5.828568486058738,5.828568486058738,1.014731899486897,4.813836586571841,4.828568486058738,0.0
baseline,K_B,valley_even,0.5,0.05,6.947245640416761,6.947245640416761,0.8830200692176895,6.064225571199072,5.94724564041676,0.0
baseline,K_T,valley_even,0.5,0.05,4.741760413023793,4.741760413023793,0.8720083523848073,3.869752060638986,3.7417604130237927,0.0
baseline,total,valley_even,0.5,0.05,4.862854788846991,4.862854788846991,0.8663689767489803,3.9964858120980105,3.862854788846991,0.0
baseline,K_B,valley_even,1.0,0.05,4.717028525260475,4.717028525260475,0.6841941216379892,4.032834403622486,3.7170285252604742,0.0
baseline,K_T,valley_even,1.0,0.05,3.3386002581398704,3.3386002581398704,0.643560004245602,2.6950402538942684,2.338600258139871,0.0
baseline,total,valley_even,1.0,0.05,3.414284243029369,3.414284243029369,0.6438245926421052,2.770459650387264,2.414284243029369,0.0
baseline,K_B,valley_even,2.0,0.05,2.4868114101041905,2.4868114101041905,0.4853681740582888,2.0014432360459016,1.48681141010419,0.0
baseline,K_T,valley_even,2.0,0.05,1.9354401032559483,1.9354401032559483,0.4151116561063968,1.5203284471495515,0.9354401032559482,0.0
baseline,total,valley_even,2.0,0.05,1.9657136972117477,1.9657136972117477,0.4212802085352301,1.5444334886765176,0.9657136972117477,0.0
baseline,K_B,valley_even,0.0,0.2,8.053730798341894,8.053730798341894,1.0155467893401626,7.038184009001731,7.053730798341895,0.0
baseline,K_T,valley_even,0.0,0.2,5.1005630531605135,5.1005630531605135,1.0242739424433804,4.076289110717133,4.1005630531605135,0.0
baseline,total,valley_even,0.0,0.2,4.677870658550546,4.677870658550546,1.0147117095404492,3.663158949010097,3.677870658550547,0.0
baseline,K_B,valley_even,0.5,0.2,6.642984638673516,6.642984638673516,0.8831170100439817,5.759867628629534,5.642984638673515,0.0
baseline,K_T,valley_even,0.5,0.2,4.2804504425284104,4.2804504425284104,0.872092942171039,3.408357500357371,3.2804504425284104,0.0
baseline,total,valley_even,0.5,0.2,3.942296526840437,3.942296526840437,0.866470076789102,3.075826450051335,2.9422965268404373,0.0
baseline,K_B,valley_even,1.0,0.2,4.526865399170946,4.526865399170946,0.68447234109971,3.842393058071236,3.5268653991709473,0.0
baseline,K_T,valley_even,1.0,0.2,3.050281526580257,3.050281526580257,0.643821441762527,2.40646008481773,2.0502815265802568,0.0
baseline,total,valley_even,1.0,0.2,2.8389353292752735,2.8389353292752735,0.6441076276620811,2.1948277016131925,1.8389353292752735,0.0
baseline,K_B,valley_even,2.0,0.2,2.410746159668379,2.410746159668379,0.4858276721554386,1.9249184875129404,1.4107461596683788,0.0
baseline,K_T,valley_even,2.0,0.2,1.8201126106321024,1.8201126106321024,0.415549941354015,1.4045626692780875,0.8201126106321026,0.0
