method,sample_id,psnr_fixed,psnr_guided,psnr_method,psnr_gain,seed,dataset_name,dataset_version,condition_family,condition_level,training_regime,object_family,aberration_id,better_than_fixed,condition
trainable_surrogate_ridge,natural_object_eval_object_02,18.186379443095834,21.84017803582976,16.066720895068332,-2.119658548027502,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_03,20.910408925742907,23.72619529217152,17.838225869613144,-3.072183056129763,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_04,21.4576363280704,23.801444579990488,18.773876226448287,-2.683760101622113,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_05,20.375103631462995,22.50473622221537,19.46649391589805,-0.9086097155649426,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_06,19.892394837383875,22.633110120640016,17.750335723520582,-2.1420591138632936,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_07,27.14652971036349,29.75237746784835,20.949226361390828,-6.197303348972667,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_08,18.80117135181588,20.921060842948567,17.484261535644624,-1.3169098161712576,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_09,21.147320837294792,22.81743393322557,20.299792824337278,-0.8475280129575182,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_10,17.191992321163173,19.024114973123545,18.0025544424887,0.8105621213255283,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_11,22.640345029946328,24.79549124170434,19.216689886181975,-3.42365514376435,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_00,19.09297262457729,22.519789772188545,16.331725767467123,-2.761246857110166,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
