sample_id,psnr_fixed,psnr_method,psnr_gain,seed,dataset_name,dataset_version,condition_family,condition_level,training_regime,method,object_family,aberration_id,psnr_guided,better_than_fixed,condition
Kodak-PCD0992:kodim01,27.790705693646483,25.83665693293677,-1.954048760709714,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim02,30.289387467950792,28.19471192881968,-2.09467553913111,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim03,24.425261526855053,23.883415732623742,-0.5418457942313069,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim04,25.74407117584066,24.61382449389169,-1.130246681948968,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim05,26.443905876364617,24.002121849269574,-2.4417840270950397,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim06,24.750944971861657,24.70960599908236,-0.0413389727793003,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim07,26.559553252123383,26.11793495916369,-0.4416182929596957,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim08,22.555480965228018,22.45941855511545,-0.0960624101125624,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim09,25.478038337231887,24.35821953231391,-1.1198188049179765,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim10,26.21582770770829,25.170020747252373,-1.0458069604559128,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim11,27.75958329929396,25.2429369321135,-2.5166463671804564,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim12,21.827796398423025,24.11601585090587,2.2882194524828456,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,phase_mask_quantization:3.0
Kodak-PCD0992:kodim01,27.92063435081403,26.087000325855318,-1.833634024958716,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim02,30.047849687614026,28.45449177203824,-1.593357915575783,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim03,24.33057655943248,23.504798973375195,-0.8257775860572814,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim04,25.315262283862644,24.358119615292352,-0.9571426685702916,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim05,25.9888063467766,23.976342569756703,-2.012463777019896,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim06,24.36718881107758,24.54401781932662,0.1768290082490402,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,phase_mask_quantization:3.0
Kodak-PCD0992:kodim07,26.483971174814585,26.04980922675166,-0.4341619480629255,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim08,22.70436446367612,22.49652516732024,-0.2078392963558819,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim09,25.00474048357364,24.1628688453408,-0.8418716382328455,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim10,26.20381294930777,25.185279760148184,-1.0185331891595872,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
