k2_reduced,energy_meV,baseline_weight,corrected_weight,delta_weight
0.04878048780487805,-60.0,0.006066146754336951,0.005416346867004016,-0.0006497998873329349
0.04878048780487805,-59.166666666666664,0.007541873526367957,0.006370550748146552,-0.0011713227782214055
0.04878048780487805,-58.33333333333333,0.009811847434923419,0.007667590170457893,-0.002144257264465526
0.04878048780487805,-57.5,0.013675834670664199,0.009513191136394612,-0.0041626435342695875
0.04878048780487805,-56.666666666666664,0.0214267967849706,0.01229118787815109,-0.00913560890681951
0.04878048780487805,-55.83333333333333,0.04353965569285994,0.016741546465552915,-0.026798109227307024
0.04878048780487805,-55.0,0.12737341072066558,0.02418354340693594,-0.10318986731372963
0.04878048780487805,-54.166666666666664,0.12214565883366355,0.03613524871566481,-0.08601041011799873
0.04878048780487805,-53.33333333333333,0.11635476868890844,0.05271575036551474,-0.06363901832339369
0.04878048780487805,-52.5,0.1107181200543369,0.07299173674838795,-0.03772638330594895
0.04878048780487805,-51.666666666666664,0.10497335593959323,0.09717929767439294,-0.007794058265200285
0.04878048780487805,-50.83333333333333,0.09843564668083615,0.1249471561184318,0.026511509437595643
0.04878048780487805,-50.0,0.09042498874636769,0.15289359545588552,0.06246860670951783
0.04878048780487805,-49.166666666666664,0.08116757754959486,0.14261648064195107,0.061448903092356205
0.04878048780487805,-48.33333333333333,0.07188529067684005,0.1182337995062512,0.04634850882941115
0.04878048780487805,-47.5,0.06368194083803398,0.09705745763237923,0.03337551679434525
0.04878048780487805,-46.666666666666664,0.05697215615932482,0.08108342357550286,0.024111267416178035
0.04878048780487805,-45.83333333333333,0.05168162609055661,0.06950597208442062,0.01782434599386401
0.04878048780487805,-45.0,0.047532369531084646,0.061187884835926624,0.013655515304841978
0.04878048780487805,-44.166666666666664,0.04427966744461982,0.05519355223704469,0.010913884792424867
0.04878048780487805,-43.33333333333333,0.04169517060487735,0.050856509700319893,0.00916133909544254
0.04878048780487805,-42.5,0.03954656790089573,0.04771961341556173,0.008173045514666001
0.04878048780487805,-41.666666666666664,0.03778870425731775,0.04548461616454054,0.00769591190722279
0.04878048780487805,-40.83333333333333,0.0362253444054784,0.043957357235833744,0.007732012830355343
0.04878048780487805,-40.0,0.034895520441529285,0.04301310726045499,0.008117586818925708
0.04878048780487805,-39.166666666666664,0.033695090934973256,0.042462554262537526,0.00876746332756427
0.04878048780487805,-38.33333333333333,0.03259621070240782,0.04244966309492835,0.009853452392520529
0.04878048780487805,-37.5,0.03170154077674838,0.04402521791347939,0.012323677136731007
0.04878048780487805,-36.666666666666664,0.030870735168570484,0.03912527790187292,0.008254542733302433
0.04878048780487805,-35.83333333333333,0.03019719981779413,0.02032546982068819,-0.009871729997105939
0.04878048780487805,-35.0,0.029818972583098857,-0.019895805477934618,-0.04971477806103347
0.04878048780487805,-34.166666666666664,0.029663022216331075,0.00829210327252785,-0.021370918943803226
0.04878048780487805,-33.33333333333333,0.029746653660325455,0.008036471804079829,-0.021710181856245625
0.04878048780487805,-32.5,0.030296777166271854,0.010221697476998087,-0.020075079689273766
0.04878048780487805,-31.666666666666664,0.03157501840253893,0.013637838146275406,-0.01793718025626352
0.04878048780487805,-30.83333333333333,0.033831640409308625,0.01743147209848745,-0.016400168310821174
0.04878048780487805,-30.0,0.037483733092166766,0.02158881187784733,-0.015894921214319437
0.04878048780487805,-29.166666666666664,0.04167752285986512,0.02610227713073534,-0.015575245729129779
0.04878048780487805,-28.33333333333333,0.03189047019436056,0.03096886353490614,-0.00092160665945442
0.04878048780487805,-27.5,0.03541774594252291,0.03623506671068502,0.0008173207681621136
0.04878048780487805,-26.666666666666664,0.061687088677163056,0.042010856051970386,-0.01967623262519267
0.04878048780487805,-25.83333333333333,0.07236299469047634,0.04846853401797229,-0.023894460672504052
0.04878048780487805,-25.0,0.07340669311096477,0.05578985915245712,-0.017616833958507654
0.04878048780487805,-24.166666666666664,0.05983659122216379,0.06376781870555301,0.00393122748338922
0.04878048780487805,-23.33333333333333,0.07406723362815354,0.07066184032809333,-0.0034053933000602055
0.04878048780487805,-22.5,0.04976422152986739,0.07133775925244112,0.021573537722573734
0.04878048780487805,-21.666666666666664,0.04207538253020812,0.06604888536289658,0.023973502832688454
0.04878048780487805,-20.83333333333333,0.06933269564989424,0.06095862704452763,-0.008374068605366602
0.04878048780487805,-20.0,0.09333452649053398,0.058322603064502855,-0.03501192342603112
0.04878048780487805,-19.166666666666664,0.05380154727831193,0.05815044101145683,0.004348893733144905
0.04878048780487805,-18.33333333333333,0.05600343364947157,0.05644354368425262,0.0004401100347810466
0.04878048780487805,-17.5,0.05604090035375952,0.05514303478296489,-0.0008978655707946315
0.04878048780487805,-16.666666666666664,0.056379808493688434,0.05139881383888479,-0.004980994654803644
