config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,wrongref_mode,psnr_db,mse
1,6,train,diag,common_path,1,0.16,0.14,task_matched_decoy,10.95035,0.08034613
1,6,train,box,common_path,1,0.16,0.14,task_matched_decoy,11.828907,0.06563104
1,6,train,bars,common_path,1,0.16,0.14,task_matched_decoy,12.625848,0.05462799
1,6,train,ring,common_path,1,0.16,0.14,task_matched_decoy,12.043821,0.06246229
1,6,train,chevron,common_path,1,0.16,0.14,task_matched_decoy,10.192577,0.09566263
1,6,train,cross,noncommon_path,1,0.16,0.14,task_matched_decoy,12.858634,0.05177697
1,6,train,diag,noncommon_path,1,0.16,0.14,task_matched_decoy,10.218835,0.09508597
1,6,train,box,noncommon_path,1,0.16,0.14,task_matched_decoy,11.608623,0.06904587
1,6,train,bars,noncommon_path,1,0.16,0.14,task_matched_decoy,12.184459,0.06047196
1,6,train,ring,noncommon_path,1,0.16,0.14,task_matched_decoy,11.99442,0.06317686
1,6,train,chevron,noncommon_path,1,0.16,0.14,task_matched_decoy,10.395457,0.09129653
1,6,train,cross,wrong_reference,1,0.16,0.14,task_matched_decoy,12.884962,0.05146403
1,6,train,diag,wrong_reference,1,0.16,0.14,task_matched_decoy,10.49684,0.08918997
1,6,train,box,wrong_reference,1,0.16,0.14,task_matched_decoy,11.859913,0.06516414
1,6,train,bars,wrong_reference,1,0.16,0.14,task_matched_decoy,12.613579,0.05478253
1,6,train,ring,wrong_reference,1,0.16,0.14,task_matched_decoy,12.05244,0.06233845
1,6,train,chevron,wrong_reference,1,0.16,0.14,task_matched_decoy,10.686976,0.08536944
1,6,ood,disk,ordinary,1,0.16,0.14,task_matched_decoy,13.354635,0.04618878
1,6,ood,two_spots,ordinary,1,0.16,0.14,task_matched_decoy,13.34963,0.04624205
1,6,ood,frame,ordinary,1,0.16,0.14,task_matched_decoy,9.344962,0.11627967
1,6,ood,disk,common_path,1,0.16,0.14,task_matched_decoy,14.436768,0.03600172
1,6,ood,two_spots,common_path,1,0.16,0.14,task_matched_decoy,13.813444,0.0415581
1,6,ood,frame,common_path,1,0.16,0.14,task_matched_decoy,9.270339,0.11829493
1,6,ood,disk,noncommon_path,1,0.16,0.14,task_matched_decoy,13.893903,0.04079526
1,6,ood,two_spots,noncommon_path,1,0.16,0.14,task_matched_decoy,13.753683,0.04213391
1,6,ood,frame,noncommon_path,1,0.16,0.14,task_matched_decoy,9.40508,0.11468114
1,6,ood,disk,wrong_reference,1,0.16,0.14,task_matched_decoy,13.953452,0.04023971
1,6,ood,two_spots,wrong_reference,1,0.16,0.14,task_matched_decoy,13.934758,0.04041329
1,6,ood,frame,wrong_reference,1,0.16,0.14,task_matched_decoy,9.437127,0.11383801
1,7,train,cross,ordinary,1,0.16,0.14,task_matched_decoy,13.168774,0.04820839
1,7,train,diag,ordinary,1,0.16,0.14,task_matched_decoy,13.645554,0.04319611
1,7,train,box,ordinary,1,0.16,0.14,task_matched_decoy,12.001573,0.06307288
1,7,train,bars,ordinary,1,0.16,0.14,task_matched_decoy,13.185334,0.04802491
1,7,train,ring,ordinary,1,0.16,0.14,task_matched_decoy,13.554823,0.04410803
1,7,train,chevron,ordinary,1,0.16,0.14,task_matched_decoy,13.644339,0.04320819
1,7,train,cross,common_path,1,0.16,0.14,task_matched_decoy,12.752442,0.0530586
1,7,train,diag,common_path,1,0.16,0.14,task_matched_decoy,10.801207,0.08315327
1,7,train,box,common_path,1,0.16,0.14,task_matched_decoy,11.809457,0.06592563
1,7,train,bars,common_path,1,0.16,0.14,task_matched_decoy,12.279636,0.05916113
1,7,train,ring,common_path,1,0.16,0.14,task_matched_decoy,11.563101,0.0697734
1,7,train,chevron,common_path,1,0.16,0.14,task_matched_decoy,10.57957,0.08750704
1,7,train,cross,noncommon_path,1,0.16,0.14,task_matched_decoy,12.930376,0.05092868
1,7,train,diag,noncommon_path,1,0.16,0.14,task_matched_decoy,10.575794,0.08758316
1,7,train,box,noncommon_path,1,0.16,0.14,task_matched_decoy,11.780001,0.06637429
1,7,train,bars,noncommon_path,1,0.16,0.14,task_matched_decoy,12.495364,0.05629419
1,7,train,ring,noncommon_path,1,0.16,0.14,task_matched_decoy,11.907823,0.06444922
1,7,train,chevron,noncommon_path,1,0.16,0.14,task_matched_decoy,10.969072,0.08000052
1,7,train,cross,wrong_reference,1,0.16,0.14,task_matched_decoy,12.824742,0.0521826
1,7,train,diag,wrong_reference,1,0.16,0.14,task_matched_decoy,10.644739,0.08620374
1,7,train,box,wrong_reference,1,0.16,0.14,task_matched_decoy,11.95418,0.06376494
1,7,train,bars,wrong_reference,1,0.16,0.14,task_matched_decoy,12.554306,0.05553534
1,7,train,ring,wrong_reference,1,0.16,0.14,task_matched_decoy,12.072039,0.06205776
1,7,train,chevron,wrong_reference,1,0.16,0.14,task_matched_decoy,10.595739,0.08718186
1,7,ood,disk,ordinary,1,0.16,0.14,task_matched_decoy,13.731731,0.04234741
1,7,ood,two_spots,ordinary,1,0.16,0.14,task_matched_decoy,13.245038,0.04736922
1,7,ood,frame,ordinary,1,0.16,0.14,task_matched_decoy,9.259164,0.11859971
1,7,ood,disk,common_path,1,0.16,0.14,task_matched_decoy,14.776202,0.03329506
1,7,ood,two_spots,common_path,1,0.16,0.14,task_matched_decoy,14.356221,0.03667566
1,7,ood,frame,common_path,1,0.16,0.14,task_matched_decoy,9.585474,0.11001518
1,7,ood,disk,noncommon_path,1,0.16,0.14,task_matched_decoy,13.796732,0.04171832
