config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,input_phase_coupling,wrongref_mode,psnr_db,mse
1,6,train,chevron,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.081973,0.0779476
1,6,train,cross,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.816324,0.05228385
1,6,train,diag,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.690498,0.06775638
1,6,train,box,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.010024,0.06295027
1,6,train,bars,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.767053,0.0528804
1,6,train,ring,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.793601,0.05255813
1,6,train,chevron,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.084219,0.07790729
1,6,ood,disk,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.68316,0.04282368
1,6,ood,two_spots,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.477721,0.04489809
1,6,ood,frame,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.311471,0.11717984
1,6,ood,disk,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.920225,0.04054875
1,6,ood,two_spots,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.953667,0.04023771
1,6,ood,frame,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.62695,0.1089695
1,6,ood,disk,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.47884,0.04488653
1,6,ood,two_spots,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.054137,0.03931754
1,6,ood,frame,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.464293,0.11312816
1,6,ood,disk,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.504393,0.0446232
1,6,ood,two_spots,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.856375,0.04114931
1,6,ood,frame,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.513081,0.11186441
1,7,train,cross,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.194548,0.04792313
1,7,train,diag,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.456496,0.04511805
1,7,train,box,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.059972,0.06223042
