dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed_count,repeat_count_per_seed,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,gain_ci95_half_width,gain_ci_low,gain_ci_high,mean_degradation_vs_clean_db,degradation_ci95_half_width,degradation_ci_low,degradation_ci_high,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,failure_threshold_gain_db,pass_state
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.02,3,4,288,-15.96388003012472,0.5323075991402514,-16.49618762926497,-15.431572430984469,15.745673329415238,0.45285958001451093,15.292813749400727,16.198532909429748,9.08469763185652,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.0,3,4,288,-16.413119729354943,0.3789180196568387,-16.792037749011783,-16.034201709698102,16.19491302864546,0.33487183194921666,15.860041196696242,16.529784860594674,8.644062663169388,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.005,3,4,288,-16.556012179819763,0.4132989728663118,-16.969311152686075,-16.142713206953452,16.337805479110283,0.31985860873279964,16.017946870377482,16.657664087843084,8.498938096061206,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.01,3,4,288,-16.472035511694838,0.5061522706240004,-16.978187782318837,-15.965883241070838,16.253828810985354,0.44069787698607654,15.813130933999277,16.69452668797143,8.57898547811537,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.02,3,4,288,-16.37892869686817,0.49308101257912135,-16.87200970944729,-15.885847684289047,16.16072199615868,0.4268308726164174,15.733891123542264,16.5875528687751,8.669648965113073,25.048577661981238,27.009045430169824,0.0,fail
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.0,3,1,72,2.5992926149610134,0.08121358324416277,2.5180790317168507,2.680506198205176,0.0,0.0,0.0,0.0,23.4645745036144,20.86528188865339,23.168884635205547,0.0,pass
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.005,3,1,72,2.594392544548301,0.09403622218882227,2.5003563223594787,2.6884287667371236,0.004900070412711936,0.01310449218370664,-0.008204421770994706,0.018004562596418576,23.455559506963585,20.861166962415282,23.173057446002673,0.0,pass
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.01,3,1,72,2.5753831537402987,0.10912037819928451,2.466262775541014,2.6845035319395834,0.023909461220714395,0.028109524492401537,-0.004200063271687142,0.05201898571311593,23.433217848373975,20.85783469463368,23.179267572076935,0.0,pass
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.02,3,1,72,2.5192241598778633,0.15696290698787435,2.362261252889989,2.6761870668657375,0.08006845508314993,0.07687376565806923,0.0031946894250806934,0.15694222074121916,23.370083320282756,20.85085916040489,23.186917276648284,0.0,pass
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.0,3,4,288,-7.430296191870082,0.5466350333606877,-7.97693122523077,-6.883661158509394,10.029588806831095,0.4670224604254084,9.562566346405687,10.496611267256503,13.434985696783306,20.86528188865339,23.168884635205547,0.0,fail
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.005,3,4,288,-7.994937735080165,1.2831156454215926,-9.278053380501758,-6.711822089658572,10.594230350041178,1.2065257756164876,9.38770457442469,11.800756125657665,12.866229227335117,20.861166962415282,23.173057446002673,0.0,fail
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.01,3,4,288,-7.438919464592748,1.1090211670601082,-8.547940631652857,-6.329898297532639,10.03821207955376,1.0890542474067026,8.949157832147058,11.127266326960463,13.418915230040932,20.85783469463368,23.179267572076935,0.0,fail
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.02,3,4,288,-7.79043222452187,0.35051489339118014,-8.14094711791305,-7.439917331130689,10.389724839482883,0.2826807012566986,10.107044138226184,10.67240554073958,13.06042693588302,20.85085916040489,23.186917276648284,0.0,fail
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.0,3,4,288,-9.981700646520745,0.8915717033165407,-10.873272349837285,-9.090128943204205,12.58099326148176,0.831240578531693,11.749752682950067,13.412233840013453,10.88358124213264,20.86528188865339,23.168884635205547,0.0,fail
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.005,3,4,288,-10.616068048714757,1.5672922265618863,-12.183360275276643,-9.048775822152871,13.215360663675769,1.4863897310781307,11.728970932597639,14.7017503947539,10.245098913700526,20.861166962415282,23.173057446002673,0.0,fail
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.01,3,4,288,-9.688689723244778,0.9330179368244391,-10.621707660069218,-8.755671786420338,12.287982338205792,0.8987060207906803,11.389276317415112,13.186688358996472,11.169144971388901,20.85783469463368,23.179267572076935,0.0,fail
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.02,3,4,288,-10.116642484904302,0.7590978062749845,-10.875740291179287,-9.357544678629317,12.715935099865314,0.7566269868417579,11.959308113023557,13.472562086707072,10.734216675500585,20.85085916040489,23.186917276648284,0.0,fail
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.0,3,4,288,-11.812644106865664,1.2499380420120734,-13.062582148877738,-10.56270606485359,14.411936721826677,1.1750367148297531,13.236900006996924,15.58697343665643,9.052637781787721,20.86528188865339,23.168884635205547,0.0,fail
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.005,3,4,288,-11.333450849850664,0.34578324887321676,-11.67923409872388,-10.987667600977447,13.932743464811674,0.26973487877256686,13.663008586039107,14.202478343584241,9.52771611256462,20.861166962415282,23.173057446002673,0.0,fail
