path_rank,short_range_rank,c7_rank,path_mode,k_b_label,m_label,k_t_label,ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
11,2,42,duplicated_150,K_2b1+b2,M_b1,K_b1+2b2,cyc,cyc,cyc,anti,cyc,anti,cyc,anti,True,True,10.217676602414212,7.105427357601002e-15,15.127628232760571,7.20020946254007,15.070890587837834,17.69753501068916,0.056737644922737474
10,2,41,exclusive_150,K_2b1+b2,M_b1,K_b1+2b2,cyc,cyc,cyc,anti,cyc,anti,cyc,anti,False,False,10.22148880897524,0.03017052329399661,15.182043793549315,6.794243517257103,15.025534135225364,17.704137946141802,0.15650965832395158
12,2,41,duplicated_150,K_b1+2b2,M_b1,K_2b1+b2,cyc,cyc,cyc,anti,cyc,anti,cyc,anti,False,False,10.221997453402594,1.0658141036401503e-14,15.055304591086967,6.762115341880568,15.172004262486729,17.70501894413297,0.11669967139976123
11,2,41,duplicated_150,K_2b1+b2,M_b1,K_b1+2b2,cyc,cyc,cyc,anti,cyc,anti,cyc,anti,False,False,10.221997453402594,1.0658141036401503e-14,15.172004262486722,6.762115341880568,15.055304591086974,17.70501894413297,0.11669967139974702
6,6,15,exclusive_150,K_b1-b2,M_b1+b2,K_-b1+b2,anti,cyc,cyc,anti,cyc,cyc,cyc,anti,False,True,10.222601460593173,0.019175023557068016,14.996534321493515,5.405311363364348,15.037344332550568,17.70606511527519,0.04081001105705262
8,6,15,duplicated_150,K_b1-b2,M_b1+b2,K_-b1+b2,anti,cyc,cyc,anti,cyc,cyc,cyc,anti,False,True,10.223781680441595,1.0658141036401503e-14,15.041894115224911,5.365195761191318,15.107537345438075,17.70810931601676,0.06564323021316376
7,6,15,duplicated_150,K_-b1+b2,M_b1+b2,K_b1-b2,anti,cyc,cyc,anti,cyc,cyc,cyc,anti,False,True,10.223781680441597,1.0658141036401503e-14,15.107537345438068,5.365195761191318,15.041894115224917,17.70810931601676,0.06564323021315133
8,5,5,duplicated_150,K_b1-b2,M_b1+b2,K_-b1+b2,cyc,anti,cyc,anti,anti,cyc,anti,anti,True,False,10.224139113452651,7.105427357601002e-15,17.297581518114196,7.297881500784679,18.994848615806273,17.708728408152208,1.6972670976920767
7,5,5,duplicated_150,K_-b1+b2,M_b1+b2,K_b1-b2,cyc,anti,cyc,anti,anti,cyc,anti,anti,True,False,10.224139113452651,7.105427357601002e-15,18.994848615806273,7.297881500784679,17.297581518114203,17.708728408152208,1.6972670976920696
6,5,46,exclusive_150,K_b1-b2,M_b1+b2,K_-b1+b2,cyc,anti,cyc,anti,anti,anti,cyc,anti,True,False,10.225197356101118,0.04303181446806903,16.470505515509043,6.506545151578215,16.422733569489193,17.71056133818609,0.04777194601985002
6,5,16,exclusive_150,K_b1-b2,M_b1+b2,K_-b1+b2,cyc,anti,cyc,anti,cyc,cyc,anti,cyc,True,False,10.22702874960172,0.04315652427731109,16.52898646005432,9.258235100852847,16.43519671321729,17.713733404777784,0.09378974683702879
6,5,12,exclusive_150,K_b1-b2,M_b1+b2,K_-b1+b2,cyc,anti,cyc,anti,cyc,cyc,anti,cyc,True,True,10.227419753942165,0.04762475457190618,16.52995160006384,8.99872380277269,16.43413402373795,17.714410644161415,0.09581757632588861
10,3,36,exclusive_150,K_2b1+b2,M_b1,K_b1+2b2,cyc,cyc,anti,cyc,anti,anti,anti,anti,True,True,10.228103030635381,0.01403279503919208,14.97704562721528,4.494347743503224,15.641340171874138,17.71559411410969,0.6642945446588584
9,3,36,exclusive_150,K_b1+2b2,M_b1,K_2b1+b2,cyc,cyc,anti,cyc,anti,anti,anti,anti,True,True,10.228364806335394,0.018922150008116034,15.645159013059104,4.462709253134657,14.97394262268286,17.7160475229223,0.6712163903762445
7,5,12,duplicated_150,K_-b1+b2,M_b1+b2,K_b1-b2,cyc,anti,cyc,anti,cyc,cyc,anti,cyc,True,True,10.229020681209773,7.105427357601002e-15,16.420913062925955,9.078036860665058,16.563581743859856,17.717183531528132,0.14266868093390173
8,5,12,duplicated_150,K_b1-b2,M_b1+b2,K_-b1+b2,cyc,anti,cyc,anti,cyc,cyc,anti,cyc,True,True,10.229020681209773,7.105427357601002e-15,16.563581743859842,9.078036860665058,16.42091306292596,17.717183531528132,0.14266868093388396
7,5,16,duplicated_150,K_-b1+b2,M_b1+b2,K_b1-b2,cyc,anti,cyc,anti,cyc,cyc,anti,cyc,True,False,10.229329612935315,1.0658141036401503e-14,16.42091302295286,9.314411818075998,16.563581374521515,17.717718616972842,0.14266835156865554
8,5,16,duplicated_150,K_b1-b2,M_b1+b2,K_-b1+b2,cyc,anti,cyc,anti,cyc,cyc,anti,cyc,True,False,10.229329612935315,1.0658141036401503e-14,16.5635813745215,9.314411818075998,16.420913022952863,17.717718616972842,0.14266835156863777
10,3,32,exclusive_150,K_2b1+b2,M_b1,K_b1+2b2,cyc,cyc,anti,cyc,anti,anti,anti,anti,False,True,10.22936537141694,0.016208484988752048,15.00304596411834,3.940404211272006,15.619836365769208,17.717780552479816,0.616790401650869
9,4,29,exclusive_150,K_b1+2b2,M_b1,K_2b1+b2,cyc,cyc,cyc,cyc,cyc,anti,anti,anti,False,False,10.229786497857688,0.012209539689280291,15.477999540654537,1.9682751594055947,15.088232326002581,17.718509964871608,0.38976721465195574
