path_rank,config_rank,path_mode,k_b_label,m_label,k_t_label,ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
3,128,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,cyc,const,cyc,cyc,True,True,13.408368034302205,23.466582657469665,18.075387684439054,11.191858586496242,17.175839552685876,23.223974681993855,0.8995481317531784
3,16,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,const,const,cyc,const,True,True,13.409672021335053,11.374471727364018,17.297581072051784,11.887006393465448,17.095637383892566,23.226233253787157,0.20194368815921848
3,169,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,cyc,cyc,anti,const,False,False,13.409716421809392,23.466582657469637,17.1886628738608,8.908226556164035,18.091637607747753,23.22631015766459,0.9029747338869534
3,164,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,cyc,cyc,cyc,cyc,True,True,13.413818944705161,29.27539042026377,17.175840812742262,11.643204042742743,17.17583934797746,23.23341593575928,1.4647648036714145e-06
3,318,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,anti,anti,anti,cyc,False,True,13.415637318933056,29.275390420263783,18.091637607748538,9.414067789592249,16.882126116960343,23.23656545230917,1.209511490788195
3,956,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,anti,anti,cyc,cyc,True,True,13.416116271452845,26.93377117103322,17.93043170182568,10.486475228943359,16.8704889411004,23.237395022407856,1.0599427607252778
3,782,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,cyc,const,anti,const,False,True,13.419642995776675,19.36257774371385,17.946131609640844,8.135878952593423,18.09163760774853,23.243503488121018,0.14550599810768716
3,489,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,cyc,cyc,cyc,anti,False,False,13.42102608853705,26.9337711710332,17.188661464676226,9.904315482032557,17.94613144031483,23.245899075053565,0.7574699756386032
3,282,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,anti,cyc,anti,cyc,False,True,13.42252528332605,29.275390420263754,17.188662445310673,10.72778692206518,17.188660793253174,23.248495756598558,1.6520574988021508e-06
3,162,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,cyc,cyc,cyc,cyc,False,True,13.427122800771958,29.27539042026374,17.18866244531045,11.448203265815007,17.188660793254975,23.256458890403557,1.6520554737553539e-06
3,955,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,anti,anti,cyc,cyc,True,False,13.428248189109874,26.933771171033207,17.930431720867176,10.30277900329223,17.175840473135846,23.258408120183073,0.7545912477313301
3,304,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,anti,anti,cyc,const,True,True,13.428599570404884,23.466582657469665,18.07538770683952,10.813689367291628,17.175842253660225,23.259016730438862,0.8995454531792966
3,458,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,cyc,const,anti,const,False,True,13.428628397120606,19.36257774371385,18.091637607748574,8.135878707089706,17.946131649748434,23.259066659775105,0.14550595800013966
