model,valley,pairing,barrier_Z,eta_meV,bias_meV,conductance_generalized_btk,andreev_component,normal_reflection_component
baseline,K_T,s_wave,0.0,0.05,-70.83333333333333,1.000383727881706,0.00038372788170608585,0.0
baseline,K_T,s_wave,0.0,0.05,-70.0,1.0004784185626174,0.0004784185626175262,0.0
baseline,K_T,s_wave,0.0,0.05,-69.16666666666667,1.000606934949755,0.0006069349497552199,0.0
baseline,K_T,s_wave,0.0,0.05,-68.33333333333333,1.0007570824512024,0.0007570824512024493,0.0
baseline,K_T,s_wave,0.0,0.05,-67.5,1.000873511307762,0.0008735113077619951,0.0
baseline,K_T,s_wave,0.0,0.05,-66.66666666666667,1.0010175223109323,0.0010175223109319482,0.0
baseline,K_T,s_wave,0.0,0.05,-65.83333333333333,1.0011832507780063,0.0011832507780063818,0.0
baseline,K_T,s_wave,0.0,0.05,-65.0,1.0013480057320403,0.0013480057320406557,0.0
baseline,K_T,s_wave,0.0,0.05,-64.16666666666667,1.0014709367432926,0.001470936743292479,0.0
baseline,K_T,s_wave,0.0,0.05,-63.33333333333333,1.0015556637658374,0.0015556637658375985,0.0
