point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_compressed,E_tb_2_compressed,E_tb_3_compressed
111,6.325931088456198,-27.37859323557326,-52.20411791763708,0.8765890171383965,-18.670519870479776,-54.07468449675642,2.8448164878174196,-27.29440505162265,-48.69984739738211
112,6.518598441660162,-27.50330204281386,-52.21356040706814,0.8397298957024781,-18.43961533754043,-54.24435415919865,3.004726085611451,-27.43349088984134,-48.64084863813009
113,6.707532300846595,-27.63086874221063,-52.21755919779427,0.8028611151204698,-18.210624197655722,-54.413649508368295,3.168637956667247,-27.574300709464218,-48.586409979663976
114,6.892750898969264,-27.76113222507751,-52.21630106731993,0.7659573225088725,-17.98358114445853,-54.582465308759666,3.3376490133328027,-27.71511670007485,-48.53984384288802
115,7.074277068164382,-27.8939265712983,-52.2099812563452,0.728984788317246,-17.758513502708468,-54.750694174978875,3.5126129970565407,-27.854451673903238,-48.50393716210887
116,7.252138152914807,-28.02908134478067,-52.19880309067786,0.6919027188542638,-17.535442108454575,-54.91822710084328,3.694141094239918,-27.99107328330645,-48.48091555673403
117,7.42636591311004,-28.16642191328699,-52.18297756946303,0.6546646677625351,-17.31438230154225,-55.08495397575525,3.8826112358858635,-28.124016737689864,-48.472431287408604
118,7.596996416827952,-28.30576979410719,-52.16272291808309,0.617220037197338,-17.095345022849692,-55.25076408654854,4.078184037682346,-28.252585711534664,-48.479573268545934
119,7.764069922669908,-28.44694302701623,-52.13826410410765,0.5795156586723377,-16.878338007724945,-55.41554660312635,4.2808234176597075,-28.37634203651227,-48.5028964060827
120,7.92763075149155,-28.58975657591058,-52.10983231473163,0.5414974429072776,-16.663367066342605,-55.57919104633545,4.490320127597379,-28.49508559786909,-48.542466750820225
121,8.087727147384355,-28.73402276043712,-52.07766439423257,0.5031120875458454,-16.45043744111378,-55.74158773663957,4.706316714683283,-28.608826509401865,-48.59791847053992
122,8.244411127780332,-28.87955171881061,-52.04200224011239,0.4643088312991438,-16.239555230847476,-55.90262822227898,4.9283327520329365,-28.71775205193031,-48.66851848113344
123,8.3977383225737,-29.02615190285401,-52.00309215677126,0.4250412428868609,-16.030728871059686,-56.06220568572233,5.1557895042778625,-28.82219099837925,-48.7532347299911
124,8.547767802179113,-29.17363060608342,-51.96118416579843,0.38526903306538385,-15.82397065962589,-56.22021532733798,5.388033498648993,-28.92257783007071,-48.850804546147145
125,8.694561894476756,-29.32179452539129,-51.9165312722637,0.34495987800779376,-15.619298316828507,-56.37655472533058,5.624358733463708,-29.019419025833738,-48.9598000846445
126,8.838185990629924,-29.4704503565488,-51.86938868676161,0.30409124228024226,-15.416736568716196,-56.5311241711083,5.8640274649748285,-29.11326315173288,-49.07868860773968
127,8.978708339802656,-29.61940542334668,-51.82001300339963,0.26265218958267567,-15.216318742498014,-56.68382697936343,6.10628966856984,-29.204675972402434,-49.20588607678056
128,9.116199832850876,-29.76846833971893,-51.76866133444683,0.22064516921377733,-15.018088362374574,-56.83456977226557,6.350401375347076,-29.294221312577385,-49.33980320567115
129,9.250733775113142,-29.91744970363996,-51.71559040296175,0.17808776580096133,-14.822100733676674,-56.9832627372819,6.595642147048115,-29.382447967562364,-49.47888370222685
130,9.382385648485842,-30.06616282095308,-51.66105559541042,0.13501439911343066,-14.628424502348388,-57.12981985825313,6.841331978568088,-29.469882620111346,-49.62163487322022
131,9.511232863031335,-30.21442445657541,-51.60530997706118,0.09147795965704866,-14.437143175584682,-57.274159119464386,7.086847913947628,-29.557028474521232,-49.76665108816219
132,9.637354498437997,-30.36205560973748,-51.54860327379978,0.047551364130194576,-14.248356587707205,-57.41620268256088,7.331640632899772,-29.644369157535426,-49.91263079572299
133,9.760831035727008,-30.50888230905732,-51.49118082494211,0.0033290126040588642,-14.062182293043845,-57.55587703626536,7.575251212340379,-29.73237734127648,-50.05838788347382
