k2_reduced,energy_meV,baseline_weight,corrected_weight,delta_weight,baseline_iterations,corrected_iterations,baseline_final_hopping_norm,corrected_final_hopping_norm
0.024390243902439025,-79.16666666666667,0.000785579993155169,0.0007527160102441027,-3.2863982911066287e-05,7.0,6.0,1.7935983929726795e-12,7.946714419641218e-11
0.024390243902439025,-78.33333333333333,0.0008237785276093807,0.0007871380808813334,-3.664044672804735e-05,7.0,7.0,2.4707989788119816e-12,6.949232440304683e-13
0.024390243902439025,-77.5,0.0008652064468017919,0.0008242352177677331,-4.097122903405886e-05,7.0,7.0,3.4353476857226572e-12,9.390545509902262e-13
0.024390243902439025,-76.66666666666667,0.0009102733519363664,0.0008643152584879156,-4.5958093448450824e-05,7.0,7.0,4.825768495812923e-12,1.2787989328556272e-12
0.024390243902439025,-75.83333333333333,0.0009594600630877363,0.0009077343336612352,-5.172572942650105e-05,7.0,7.0,6.851672530404255e-12,1.7573630042210318e-12
0.024390243902439025,-75.0,0.0010133346350501302,0.0009549066479297285,-5.8427987120401696e-05,7.0,7.0,9.841961197114097e-12,2.4333458094601197e-12
0.024390243902439025,-74.16666666666667,0.0010725728562394237,0.0010063167252050186,-6.625613103440511e-05,7.0,7.0,1.4314594565531125e-11,3.401213132990087e-12
0.024390243902439025,-73.33333333333333,0.0011379847526387064,0.0010625348707374636,-7.544988190124279e-05,7.0,7.0,2.110061116582614e-11,4.800275794401762e-12
0.024390243902439025,-72.5,0.0012105492342922397,0.001124236876068608,-8.63123582236316e-05,7.0,7.0,3.1559757575794254e-11,6.843652249257029e-12
0.024390243902439025,-71.66666666666667,0.0012914599301050115,0.0011922293831454756,-9.923054695953589e-05,7.0,7.0,4.796040098549511e-11,9.866279619554215e-12
0.024390243902439025,-70.83333333333333,0.0013821866199168254,0.001267482888742446,-0.00011470373117437936,7.0,7.0,7.415674311783093e-11,1.4399099734680084e-11
0.024390243902439025,-70.0,0.0014845587572587151,0.001351175200986133,-0.0001333835562725822,8.0,7.0,2.5924321521984224e-12,2.1304844237773333e-11
0.024390243902439025,-69.16666666666667,0.0016008808290466142,0.0014447494024107956,-0.00015613142663581858,8.0,7.0,4.4849542375625864e-12,3.202572797459003e-11
0.024390243902439025,-68.33333333333333,0.0017340944899496664,0.0015499922682048358,-0.00018410222174483062,8.0,7.0,7.9531577938694e-12,4.9058271946859676e-11
0.024390243902439025,-67.5,0.0018880109032542996,0.0016691420362218716,-0.00021886886703242794,8.0,7.0,1.4503734109861376e-11,7.69137280742749e-11
0.024390243902439025,-66.66666666666667,0.002067651008225917,0.0018050391193645075,-0.00026261188886140966,8.0,8.0,2.7286295892714844e-11,2.500354880481689e-12
0.024390243902439025,-65.83333333333333,0.0022797562268411634,0.0019613410184867457,-0.00031841520835441776,8.0,8.0,5.315119169190561e-11,4.480859643166996e-12
0.024390243902439025,-65.0,0.0025335766797363536,0.0021428355819010734,-0.00039074109783528025,9.0,8.0,3.5330331011617502e-12,8.486490595076826e-12
